future_tense,past_tense,present_tense
0.0,0.3333333333333333,0.6666666666666666
0.0,1.0,0.0
0.0,0.5,0.5
0.0,0.16666666666666666,0.8333333333333334
0.0,0.0,0.0
0.07142857142857142,0.14285714285714285,0.7857142857142857
0.0,0.1111111111111111,0.8888888888888888
0.0,0.0,1.0
0.0,0.2857142857142857,0.7142857142857143
0.3333333333333333,0.0,0.6666666666666666
0.0,0.0,1.0
0.0,0.25,0.75
0.0,0.0,1.0
0.0,0.3333333333333333,0.6666666666666666
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.4,0.6
0.0,0.0,1.0
0.25,0.0,0.75
0.0,0.2,0.8
0.08333333333333333,0.16666666666666666,0.75
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.4,0.6
0.0,0.0,1.0
0.16666666666666666,0.16666666666666666,0.6666666666666666
0.0,0.25,0.75
0.0,0.25,0.75
0.09090909090909091,0.18181818181818182,0.7272727272727273
0.0,0.0,0.0
0.18181818181818182,0.0,0.8181818181818182
0.3333333333333333,0.16666666666666666,0.5
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.5,0.5
0.14285714285714285,0.14285714285714285,0.7142857142857143
0.0,0.3333333333333333,0.6666666666666666
0.0,0.7142857142857143,0.2857142857142857
0.0,1.0,0.0
0.0,0.0,1.0
0.0,0.5,0.5
0.0,0.0,1.0
0.2,0.0,0.8
0.0,0.0,1.0
0.5,0.0,0.5
0.21052631578947367,0.2631578947368421,0.5263157894736842
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.2,0.8
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.09090909090909091,0.2727272727272727,0.6363636363636364
0.0,0.16666666666666666,0.8333333333333334
0.0,0.0,0.0
0.0,1.0,0.0
0.0,0.0,1.0
0.0,0.5,0.5
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.5,0.0,0.5
0.0,0.0,1.0
0.25,0.125,0.625
0.0,0.0,0.0
0.3333333333333333,0.0,0.6666666666666666
0.0,0.4,0.6
0.18181818181818182,0.18181818181818182,0.6363636363636364
0.0,0.0,1.0
0.0,0.0,1.0
0.09090909090909091,0.36363636363636365,0.5454545454545454
0.0,0.2,0.8
0.0,1.0,0.0
0.0,0.4,0.6
0.0,0.0,1.0
0.0,0.5,0.5
0.0,0.0,0.0
0.0,0.2,0.8
0.0,0.6,0.4
0.16666666666666666,0.0,0.8333333333333334
0.0,0.5,0.5
0.0,1.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.3333333333333333,0.6666666666666666
0.0,0.3333333333333333,0.6666666666666666
0.0,0.5,0.5
0.5,0.0,0.5
0.5,0.0,0.5
0.0,0.3333333333333333,0.6666666666666666
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.25,0.0,0.75
0.0,0.0,1.0
0.2,0.2,0.6
0.0,0.5,0.5
0.3333333333333333,0.0,0.6666666666666666
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.5,0.5
0.0,0.0,1.0
0.0,0.25,0.75
0.16666666666666666,0.5,0.3333333333333333
0.0,0.0,0.0
0.3333333333333333,0.0,0.6666666666666666
0.0,0.0,0.0
0.0,0.0,1.0
0.3333333333333333,0.0,0.6666666666666666
0.0,0.0,1.0
0.0,0.1111111111111111,0.8888888888888888
0.0,0.2727272727272727,0.7272727272727273
0.0,0.0,1.0
0.0,0.5,0.5
0.0,0.0,1.0
0.0,0.18181818181818182,0.8181818181818182
0.06666666666666667,0.26666666666666666,0.6666666666666666
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.75,0.25
0.3333333333333333,0.0,0.6666666666666666
0.0,0.3333333333333333,0.6666666666666666
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.5,0.5
0.06666666666666667,0.13333333333333333,0.8
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.375,0.125,0.5
0.25,0.25,0.5
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.25,0.75
0.0,0.0,0.0
0.0,1.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.5,0.5
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.0,0.0,0.0
0.0,0.4,0.6
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.25,0.75
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.3333333333333333,0.6666666666666666
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.25,0.75
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.25,0.25,0.5
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.5,0.5
0.0,0.0,0.0
0.0,0.18181818181818182,0.8181818181818182
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.5,0.5
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.029411764705882353,0.14705882352941177,0.8235294117647058
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.25,0.75
0.3333333333333333,0.0,0.6666666666666666
0.0,0.0,0.0
0.25,0.08333333333333333,0.6666666666666666
0.0,0.0,0.0
0.05263157894736842,0.21052631578947367,0.7368421052631579
0.0,0.0,0.0
0.0,0.25,0.75
0.07142857142857142,0.21428571428571427,0.7142857142857143
0.0,0.6666666666666666,0.3333333333333333
0.0,1.0,0.0
0.0,0.42857142857142855,0.5714285714285714
